competence,cluster,score,description
Kwaliteit opzoekwerk,Informatie & analyse,Weak,"Beperkte dekking (vb. verouderd, irrelevant, te eng), enkele belangrijke gebieden ontbreken. De student is niet in staat tot het zelfstandig verzamelen van materiaal."
Kwaliteit opzoekwerk,Informatie & analyse,Insufficient,"Beperkte dekking (vb. verouderd, irrelevant, te eng), enkele belangrijke gebieden ontbreken. De student is niet in staat tot het zelfstandig verzamelen van materiaal."
Kwaliteit opzoekwerk,Informatie & analyse,Sufficient,Basisdekking. De student draagt beperkt zelf materiaal aan dat veelal relevant en actueel is.
Kwaliteit opzoekwerk,Informatie & analyse,Good,"Grondige dekking. Slechts zeer kleine gaten aanwezig. De student draagt grotendeels zelf materiaal aan dat relevant en actueel is."
Kwaliteit opzoekwerk,Informatie & analyse,Very Good,"Grondige dekking. Slechts zeer kleine gaten aanwezig. De student draagt grotendeels zelf materiaal aan dat relevant en actueel is."
Kwaliteit opzoekwerk,Informatie & analyse,Excellent,Zeer grondig. Het materiaal dat de student aandraagt omvat zo goed als alle informatie en recente bronnen.
Kritische analyse,Informatie & analyse,Weak,"Beperkte tot geen kritische analyse, voornamelijk beschrijvend. Een vergelijking van resultaten uit de literatuur ontbreekt of is ontoereikend."
Kritische analyse,Informatie & analyse,Insufficient,"Beperkte tot geen kritische analyse, voornamelijk beschrijvend. Een vergelijking van resultaten uit de literatuur ontbreekt of is ontoereikend."
Kritische analyse,Informatie & analyse,Sufficient,Basis aan kritische analyse. Beperkte vergelijking van resultaten uit de literatuur.
Kritische analyse,Informatie & analyse,Good,"Grondige kritische analyse met functionele vergelijking van resultaten uit de literatuur. Bronnen zijn geïntegreerd tot een coherent verhaal."
Kritische analyse,Informatie & analyse,Very Good,"Grondige kritische analyse met functionele vergelijking van resultaten uit de literatuur. Bronnen zijn geïntegreerd tot een coherent verhaal."
Kritische analyse,Informatie & analyse,Excellent,Hoogstaande kritische analyse en vergelijking van resultaten. Bronnen zijn geïntegreerd tot een overtuigend verhaal.
Inzicht probleemstelling,Onderzoeksvraag,Weak,De student slaagt er niet in de probleemstelling binnen het onderzoeksveld te positioneren.
Inzicht probleemstelling,Onderzoeksvraag,Insufficient,De student slaagt er niet in de probleemstelling binnen het onderzoeksveld te positioneren.
Inzicht probleemstelling,Onderzoeksvraag,Sufficient,"De student relateert de probleemstelling enigszins aan het onderzoeksveld. De analyse van de probleemstelling is correct maar oppervlakkig."
Inzicht probleemstelling,Onderzoeksvraag,Good,De student plaatst de probleemstelling binnen het onderzoeksveld. De analyse van de probleemstelling is grondig.
Inzicht probleemstelling,Onderzoeksvraag,Very Good,De student plaatst de probleemstelling binnen het onderzoeksveld. De analyse van de probleemstelling is heel grondig.
Inzicht probleemstelling,Onderzoeksvraag,Excellent,"De student plaatst de probleemstelling binnen de state of the art van het onderzoeksveld. De analyse van de probleemstelling is genuanceerd en tot in detail uitgewerkt."
Verwoording onderzoeksvraag,Onderzoeksvraag,Weak,"Het werk mist een duidelijke onderzoeksvraag. De link met de probleemstelling werd niet of onvoldoende verkend of versterkt."
Verwoording onderzoeksvraag,Onderzoeksvraag,Insufficient,"Het werk mist een duidelijke onderzoeksvraag. De link met de probleemstelling werd niet of onvoldoende verkend of versterkt."
Verwoording onderzoeksvraag,Onderzoeksvraag,Sufficient,Het werk bevat een summiere onderzoeksvraag als resultaat van een beperkte reflectie op de probleemstelling.
Verwoording onderzoeksvraag,Onderzoeksvraag,Good,Het werk bevat een duidelijke onderzoeksvraag als resultaat van een uitgebreide reflectie op de probleemstelling.
Verwoording onderzoeksvraag,Onderzoeksvraag,Very Good,Het werk bevat een duidelijke onderzoeksvraag als resultaat van een uitgebreide reflectie op de probleemstelling.
Verwoording onderzoeksvraag,Onderzoeksvraag,Excellent,Het werk bevat een duidelijke onderzoeksvraag als resultaat van een zelfstandige en overtuigende reflectie op de probleemstelling.
Organisatorische vaardigheden,Oplossingsmethodiek,Weak,"De oplossingsmethodiek is onvoldoende uitgewerkt of afwezig. De student werkt slordig, chaotisch en onvoorbereid, wat resulteert in weinig bruikbare resultaten. De student slaagt er onvoldoende in om de methodiek bij te sturen of te anticiperen op onvoorziene omstandigheden."
